tweet_id,followers,date,message_detail,retweet_count,username,label;;
"1488255771091611659,187,2022-02-01 00:00:00,""@balotaromantico TIRE ESSE """"ROMANTICO"""" DO NOME IMEDIATAMENTE BALOTELLI ANTI ROMANTICO !!!"",0,CscDarkFantasy,";;
1488255769933922309,1,2022-02-01 00:00:00,RT @pardesse_prens: #Thyao  29.30 seviyesini bir çok twitte dile getirdik ama grafik üzerine koymamıştık  O vakit kalın bir çizgi çekelim ki yazılanları okumadan sadece grafiğe bakanlar bu seviyenin önemini anlamış olsun :) https://t.co/Dj8EVKgMQ0 https://t.co/J0NBbkKzi3,0,Alican06971322,;;
1488255775604719619,233,2022-02-01 00:00:02,Mazi'den Ati'ye Hedef Güçlü Türkiye - Mazi'den Ati'ye Hedef Güçlü Türkiye https://t.co/BEsvlUCh9H,0,FilizYavuzkurt,;;
1488255783775215623,185,2022-02-01 00:00:03,RT @CebrailOzan00: Hedef 2023 ... Türk Milleti'nin refah ve huzuru için çalışan ve tüm hayatını Türk Milleti'ne adayan @RTErdogan'a sonsuz teşekkürler...✅ https://t.co/3wQLSrETVX,0,reis_hesab,;;
1488255794344828939,110,2022-02-01 00:00:06,#petkm  8.38 Kanal desteği 8.84/9.28 dirençleri takip edilebilir. Eğer #bist100 de bi anormallik olmazsa ikili tepe oluşabilir https://t.co/8YeMPRGuQ6,0,kydostubist,;;
"1488255796811026441,64,2022-02-01 00:00:07,""Bu ay Alarko,İndes,Tkfen,Kozaa ve Enerjisa'nın ekmeğini yedik."",0,AklBorsa,";;
1488255796563566601,3,2022-02-01 00:00:07,@forum_royal @Metenin1i  @Ali01034827  @Vado90_  @mehmethanylmz  @AliCan189  Kullanıcı adım Karatass75 Emeginize sağlık forum royal🙏,0,Karatassss75,;;
1488255812418121732,219,2022-02-01 00:00:10,Fener Ol yazıp 1907'ye mesaj göndererek Barış'a destek olabilirsiniz! #SurvivorAllStar2022  BarışYaz 1890aGönder,1,locahelin,;;
"1488255826720604168,2528,2022-02-01 00:00:14,""RT @yunus_arslan_ya: ORGANİZE SUÇ!  NEDEN YALAN SÖYLÜYOR!  Dinsel  Ekonomik hedeflere ulaşmak amacıyla  Sivillere,  Belirlenen hedef gruplara Resmî,  Yerel  Genel yönetimlere yönelik  Baskı oluşturmak için sürekli yalan söylemek TERÖRİZMİN EN ETKİN METODUDUR  Haftanın yalanları https://t.co/UktkExwYSY"",0,HatunDobra1,";;
1488255829883113484,44,2022-02-01 00:00:14,RT @paulvolckeramca: #ulufa bıyıklı abimle çayını içmeye geliyoruz,0,selcuk44ugurlu1,;;
